SA5208805011;SP 4210N;Test Name;Test comment;NO HDD;Mon Nov 30 09:25:21 CET 2020;TRUE
S5208703995;SP 4210N;Test Name;test;NO HDD;Mon Nov 30 09:25:21 CET 2020;TRUE
S5208705244;SP 4210N;Test Name;test;NO HDD;Mon Nov 30 09:25:21 CET 2020;TRUE
C768J200880;MP C2004EXSP;Test Name;test;test HDD;Mon Nov 30 09:25:21 CET 2020;TRUE
S5208804596;SP 4210N;Test Name;test;NO HDD;Mon Nov 30 17:43:43 CET 2020;TRUE
S5208802294;SP 4210N;Test Name;test;NO HDD;Mon Nov 30 17:44:11 CET 2020;TRUE
S5208703336;SP 4210N;Test Name;test;NO HDD;Mon Nov 30 09:25:21 CET 2020;TRUE
CNCHB62758;HP LASERJET P2055;Test Name;test;NO HDD;Tue Dec 01 00:52:40 CET 2020;TRUE
C728R310336;MP C3504EXSP;Test Name;test;test HDD;;TRUE
S5208703353;SP 4210N;Test Name;test;NO HDD;Tue Dec 01 02:05:40 CET 2020;TRUE
C077C730014;MP C8003SP;Test Name;Test comment;test HDD;;TRUE
S5208703904;SP 4210N;Test Name;Test comment;NO HDD;Tue Dec 01 01:51:45 CET 2020;TRUE
S5208703383;SP 4210N;Test Name;test;NO HDD;Tue Dec 01 01:52:45 CET 2020;TRUE
C506PC01998;MP C307SPF;Test Name;test;test HDD;Tue Dec 15 00:51:45 CET 2020;TRUE
CNCF712898;HP LASERJET P2055;Test Name;test;NO HDD;Tue Dec 15 00:56:12 CET 2020;TRUE
S5208804512;SP 4210N;Test Name;test;NO HDD;Tue Dec 15 00:58:21 CET 2020;TRUE
S5208804517;SP 4210N;Test Name;test;NO HDD;Mon Dec 21 08:11:04 CET 2020;TRUE
C388J900095;MP 5055SP;Test Name;test;test HDD;Mon Dec 21 08:15:59 CET 2020;TRUE
S5208805406;SP 4210N;Test Name;;NO HDD;Mon Dec 21 08:16:40 CET 2020;TRUE
S5208805408;SP 4210N;Test Name;;NO HDD;Mon Dec 21 08:25:12 CET 2020;TRUE
S5208702996;SP 4210N;Test Name;;NO HDD;Mon Dec 21 08:59:21 CET 2020;TRUE
S5208704003;SP 4210N;Test Name;;NO HDD;Mon Dec 21 09:52:40 CET 2020;TRUE
S5208804997;SP 4210N;Test Name;;NO HDD;Mon Dec 21 09:07:12 CET 2020;TRUE
CNBW77V4BT;HP CB368B;Test Name;;NO HDD;Mon Dec 21 09:15:40 CET 2020;TRUE
CNCF705835;HP LASERJET P2055;Test Name;;NO HDD;Mon Dec 21 09:27:54 CET 2020;TRUE
S5208805303;SP 4210N;Test Name;;NO HDD;Mon Dec 21 09:45:46 CET 2020;TRUE
C506PC00078;MP C307SPF;Test Name;;W62BKR3E;Mon Dec 21 10:04:23 CET 2020;TRUE
C506PC00168;MP C307SPF;Test Name;;16QBCMKMT;Mon Dec 21 10:16:01 CET 2020;TRUE
CNCVF9M0TY;HP602X CE993A-B19;Test Name;;Y13ZVJ9W;Mon Dec 21 10:45:06 CET 2020;TRUE
S5218503253;SP 4210N;Test Name;;NO HDD;Mon Dec 21 10:55:12 CET 2020;TRUE
S5209006331;SP 4210N;Test Name;;NO HDD;Mon Dec 21 11:15:22 CET 2020;TRUE
C506PA00219;MP C307SPF;Test Name;;Y13UYJPW;Mon Dec 21 12:52:40 CET 2020;TRUE
C728J100576;MP C3504EXSP;Test Name;;16MCCPOOT;Mon Dec 21 13:07:07 CET 2020;TRUE
S5208804645;SP 4210N;Test Name;;NO HDD;Mon Dec 21 13:25:32 CET 2020;TRUE
S5289501810;SP 4210N;Test Name;;NO HDD;Mon Dec 21 13:36:19 CET 2020;TRUE
S5289501870;SP 4210N;Test Name;;NO HDD;Mon Dec 21 13:55:41 CET 2020;TRUE
CNCGC71586;HP CE457A;Test Name;;NO HDD;Mon Dec 21 14:01:25 CET 2020;TRUE
CNCKD31842;HP LASERJET P2055;Test Name;;NO HDD;Mon Dec 21 14:52:40 CET 2020;TRUE
C506PC00143;MP C307SPF;Test Name;;254ACLS7T;Mon Dec 21 14:59:03 CET 2020;TRUE
B786X400092;PJ HD5450;Test Name;;NO HDD;Mon Dec 21 15:13:14 CET 2020;TRUE
CNC1B16785;HP CE459A;Test Name;;NO HDD;Mon Dec 21 15:26:22 CET 2020;TRUE
CNCGB01618;HP LASERJET P2055;Test Name;;NO HDD;Mon Dec 21 15:42:48 CET 2020;TRUE
C737M920324;MP C4504EXSP;Test Name;;ACK0D5L2K;Mon Dec 21 16:00:40 CET 2020;TRUE
S5208703993;SP 4210N;Test Name;;NO HDD;Mon Dec 21 16:13:54 CET 2020;TRUE
C506PA00209;MP C307SPF;Test Name;;WH303S4L;Mon Dec 21 16:31:59 CET 2020;TRUE
C506PB02554;MP C307SPF;Test Name;;W627Z9GC;Mon Dec 21 16:43:14 CET 2020;TRUE
C506PC00291;MP C307SPF;Test Name;;WJ0JY42L;Mon Dec 21 16:57:05 CET 2020;TRUE
X123456789;MPC 300;Test Name;;X55555;Mon Dec 28 11:33:54 CET 2020;TRUE